Name,PSI (questions/sec),ATI (%)
Aarav,0.21,92.00
Sneha R,0.38,88.00
Rahul S,0.24,95.00
Diya M,0.20,91.00
Vignesh T,0.25,98.00
Karthik V,0.44,70.40
Meena P,0.23,94.00
Naveen L,0.17,89.00
Uma,0.22,93.00
Anjali K,0.20,90.00
Rakesh B,0.26,100.00
Harini D,0.18,86.00
Divya N,0.24,96.00
Saran V,0.24,97.00
Ishwarya,0.56,72.00
Lakshmi S,0.23,96.00
Yuvan R,0.22,92.00
Dheenu,0.25,99.00
Priya K,0.20,90.00
Arun M,0.26,100.00
Sowmya D,0.48,73.60
Vidhya,0.23,95.00
Manoj K,0.19,89.00
Keerthi L,0.21,91.00
Harshith,0.22,93.00
